column_name,Description,b_indo_description
pub_rec,Number of derogatory public records,Jumlah catatan publik yang merugikan
purpose,A category provided by the borrower for the loan request. ,Kategori yang disediakan oleh peminjam untuk permintaan pinjaman.
,Indicates if a payment plan has been put in place for the loan,Menunjukkan apakah rencana pembayaran telah dibuat untuk pinjaman tersebut
recoveries,Indicates if a payment plan has been put in place for the loan,Menunjukkan apakah rencana pembayaran telah dibuat untuk pinjaman tersebut
revol_bal,Total credit revolving balance,Total saldo kredit bergulir
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.        ","Tingkat pemanfaatan jalur bergulir, atau jumlah kredit yang digunakan peminjam relatif terhadap semua kredit bergulir yang tersedia."
sub_grade,LC assigned loan subgrade,LC menugaskan subgrade pinjaman
term,The number of payments on the loan. Values are in months and can be either 36 or 60.,Jumlah pembayaran pinjaman. Nilai dinyatakan dalam bulan dan bisa 36 atau 60.
title,The loan title provided by the borrower,Judul pinjaman yang diberikan oleh peminjam
tot_coll_amt,Total collection amounts ever owed,Jumlah total tagihan yang pernah terutang
tot_cur_bal,Total current balance of all accounts,Total saldo lancar semua akun
total_acc,The total number of credit lines currently in the borrower's credit file,Jumlah total jalur kredit yang saat ini ada dalam berkas kredit peminjam
total_bal_il,Total current balance of all installment accounts,Total saldo lancar semua akun angsuran
total_cu_tl,Number of finance trades,Jumlah perdagangan keuangan
total_pymnt,Payments received to date for total amount funded,Pembayaran yang diterima hingga saat ini untuk jumlah total yang didanai
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,Pembayaran yang diterima hingga saat ini untuk sebagian dari total jumlah yang didanai oleh investor
total_rec_int,Interest received to date,Bunga yang diterima hingga saat ini
total_rec_late_fee,Late fees received to date,Denda keterlambatan yang diterima hingga saat ini
total_rec_prncp,Principal received to date,Kepala sekolah diterima sampai saat ini
total_rev_hi_lim  ,Total revolving high credit/credit limit,Total kredit bergulir tinggi/batas kredit
url,URL for the LC page with listing data.,URL untuk halaman LC dengan data daftar.
verified_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified","Menunjukkan apakah pendapatan bersama para peminjam bersama telah diverifikasi oleh LC, tidak diverifikasi, atau jika sumber pendapatan telah diverifikasi"
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,3 angka pertama kode pos yang diberikan oleh peminjam dalam aplikasi pinjaman.
,,
,* Employer Title replaces Employer Name for all loans listed after 9/23/2013,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
IDE701782189883,,
